COUNTRY,YEAR,TYPE,EXEC,GOV
"af","2009","Presidential","Unknown","Unknown"
"af","2010","Presidential","Unknown","Unknown"
"af","2011","Presidential","Unknown","Unknown"
"ao","2009","Presidential","Left","Left"
"ao","2010","Presidential","Left","Left"
"ao","2011","Presidential","Left","Left"
"al","2009","Parliamentary","Right","Right"
"al","2010","Parliamentary","Right","Right"
"al","2011","Parliamentary","Right","Right"
"ae","2009","Presidential","Unknown","Unknown"
"ae","2010","Presidential","Unknown","Unknown"
"ae","2011","Presidential","Unknown","Unknown"
"ar","2009","Presidential","Left","Left"
"ar","2010","Presidential","Left","Left"
"ar","2011","Presidential","Left","Left"
"am","2009","Presidential","Unknown","Unknown"
"am","2010","Presidential","Unknown","Unknown"
"am","2011","Presidential","Unknown","Unknown"
"au","2009","Parliamentary","Left","Left"
"au","2010","Parliamentary","Left","Left"
"au","2011","Parliamentary","Left","Left"
"at","2009","Parliamentary","Left","Left"
"at","2010","Parliamentary","Left","Left"
"at","2011","Parliamentary","Left","Left"
"az","2009","Presidential","Unknown","Unknown"
"az","2010","Presidential","Unknown","Unknown"
"az","2011","Presidential","Unknown","Unknown"
"bi","2009","Presidential","Unknown","Unknown"
"bi","2010","Presidential","Unknown","Unknown"
"bi","2011","Presidential","Unknown","Unknown"
"be","2009","Parliamentary","Right","Right"
"be","2010","Parliamentary","Right","Right"
"be","2011","Parliamentary","Right","Right"
"bj","2009","Presidential","Unknown","Unknown"
"bj","2010","Presidential","Unknown","Unknown"
"bj","2011","Presidential","Unknown","Unknown"
"bf","2009","Presidential","Unknown","Unknown"
"bf","2010","Presidential","Unknown","Unknown"
"bf","2011","Presidential","Unknown","Unknown"
"bd","2009","Parliamentary","Unknown","Unknown"
"bd","2010","Parliamentary","Unknown","Unknown"
"bd","2011","Parliamentary","Unknown","Unknown"
"bg","2009","Parliamentary","Unknown","Unknown"
"bg","2010","Parliamentary","Right","Right"
"bg","2011","Parliamentary","Right","Right"
"bh","2009","Presidential","Unknown","Unknown"
"bh","2010","Presidential","Unknown","Unknown"
"bh","2011","Presidential","Unknown","Unknown"
"bs","2009","Parliamentary","Right","Right"
"bs","2010","Parliamentary","Right","Right"
"bs","2011","Parliamentary","Right","Right"
"ba","2009","Parliamentary","Unknown","Unknown"
"ba","2010","Parliamentary","Unknown","Unknown"
"ba","2011","Parliamentary","Unknown","Unknown"
"by","2009","Presidential","Unknown","Left"
"by","2010","Presidential","Unknown","Left"
"by","2011","Presidential","Unknown","Left"
"bz","2009","Parliamentary","Right","Right"
"bz","2010","Parliamentary","Right","Right"
"bz","2011","Parliamentary","Right","Right"
"bo","2009","Presidential","Left","Left"
"bo","2010","Presidential","Left","Left"
"bo","2011","Presidential","Left","Left"
"br","2009","Presidential","Left","Left"
"br","2010","Presidential","Left","Left"
"br","2011","Presidential","Left","Left"
"bb","2009","Parliamentary","Right","Right"
"bb","2010","Parliamentary","Right","Right"
"bb","2011","Parliamentary","Right","Right"
"bn","2009","Presidential","Unknown","Unknown"
"bn","2010","Presidential","Unknown","Unknown"
"bn","2011","Presidential","Unknown","Unknown"
"bt","2009","Presidential","Unknown","Unknown"
"bt","2010","Presidential","Unknown","Unknown"
"bt","2011","Presidential","Unknown","Unknown"
"bw","2009","Parliamentary","Right","Right"
"bw","2010","Parliamentary","Right","Right"
"bw","2011","Parliamentary","Right","Right"
"cf","2009","Presidential","Unknown","Unknown"
"cf","2010","Presidential","Unknown","Unknown"
"cf","2011","Presidential","Unknown","Unknown"
"ca","2009","Parliamentary","Right","Right"
"ca","2010","Parliamentary","Right","Right"
"ca","2011","Parliamentary","Right","Right"
"ch","2009","Parliamentary","Unknown","Unknown"
"ch","2010","Parliamentary","Unknown","Unknown"
"ch","2011","Parliamentary","Unknown","Unknown"
"cl","2009","Presidential","Left","Left"
"cl","2010","Presidential","Left","Left"
"cl","2011","Presidential","Left","Left"
"cn","2009","Assembly-Elected President","Left","Left"
"cn","2010","Assembly-Elected President","Left","Left"
"cn","2011","Assembly-Elected President","Left","Left"
"ci","2009","Presidential","Left","Left"
"ci","2010","Presidential","Left","Left"
"ci","2011","Presidential","Left","Left"
"cm","2009","Presidential","Unknown","Unknown"
"cm","2010","Presidential","Unknown","Unknown"
"cm","2011","Presidential","Unknown","Unknown"
"cg","2009","Presidential","Left","Left"
"cg","2010","Presidential","Left","Left"
"cg","2011","Presidential","Left","Left"
"co","2009","Presidential","Unknown","Right"
"co","2010","Presidential","Unknown","Right"
"co","2011","Presidential","Unknown","Right"
"km","2009","Presidential","Center","Unknown"
"km","2010","Presidential","Center","Unknown"
"km","2011","Presidential","Center","Unknown"
"cv","2009","Presidential","Left","Left"
"cv","2010","Presidential","Left","Left"
"cv","2011","Presidential","Left","Left"
"cr","2009","Presidential","Left","Left"
"cr","2010","Presidential","Left","Left"
"cr","2011","Presidential","Left","Left"
"cu","2009","Assembly-Elected President","Left","Left"
"cu","2010","Assembly-Elected President","Left","Left"
"cu","2011","Assembly-Elected President","Left","Left"
"cy","2009","Presidential","Left","Left"
"cy","2010","Presidential","Left","Left"
"cy","2011","Presidential","Left","Left"
"cz","2009","Parliamentary","Unknown","Unknown"
"cz","2010","Parliamentary","Unknown","Unknown"
"cz","2011","Parliamentary","Unknown","Unknown"
"de","2009","Parliamentary","Right","Right"
"de","2010","Parliamentary","Right","Right"
"de","2011","Parliamentary","Right","Right"
"dj","2009","Presidential","Unknown","Unknown"
"dj","2010","Presidential","Unknown","Unknown"
"dj","2011","Presidential","Unknown","Unknown"
"dk","2009","Parliamentary","Right","Right"
"dk","2010","Parliamentary","Right","Right"
"dk","2011","Parliamentary","Right","Right"
"do","2009","Presidential","Center","Center"
"do","2010","Presidential","Center","Center"
"do","2011","Presidential","Center","Center"
"dz","2009","Presidential","Left","Left"
"dz","2010","Presidential","Left","Left"
"dz","2011","Presidential","Left","Left"
"ec","2009","Presidential","Left","Left"
"ec","2010","Presidential","Left","Left"
"ec","2011","Presidential","Left","Left"
"eg","2009","Presidential","Unknown","Unknown"
"eg","2010","Presidential","Unknown","Unknown"
"eg","2011","Presidential","Unknown","Unknown"
"er","2009","Assembly-Elected President","Unknown","Unknown"
"er","2010","Assembly-Elected President","Unknown","Unknown"
"er","2011","Assembly-Elected President","Unknown","Unknown"
"es","2009","Parliamentary","Left","Left"
"es","2010","Parliamentary","Left","Left"
"es","2011","Parliamentary","Left","Left"
"ee","2009","Assembly-Elected President","Unknown","Unknown"
"ee","2010","Assembly-Elected President","Unknown","Unknown"
"ee","2011","Assembly-Elected President","Unknown","Unknown"
"et","2009","Parliamentary","Unknown","Unknown"
"et","2010","Parliamentary","Unknown","Unknown"
"et","2011","Parliamentary","Unknown","Unknown"
"fi","2009","Parliamentary","Center","Center"
"fi","2010","Parliamentary","Center","Center"
"fi","2011","Parliamentary","Center","Center"
"fj","2009","Parliamentary","Unknown","Unknown"
"fj","2010","Parliamentary","Unknown","Unknown"
"fj","2011","Parliamentary","Unknown","Unknown"
"fr","2009","Parliamentary","Right","Right"
"fr","2010","Parliamentary","Right","Right"
"fr","2011","Parliamentary","Right","Right"
"ga","2009","Presidential","Unknown","Unknown"
"ga","2010","Presidential","Unknown","Unknown"
"ga","2011","Presidential","Unknown","Unknown"
"gb","2009","Parliamentary","Left","Left"
"gb","2010","Parliamentary","Left","Left"
"gb","2011","Parliamentary","Left","Left"
"ge","2009","Presidential","Unknown","Unknown"
"ge","2010","Presidential","Unknown","Unknown"
"ge","2011","Presidential","Unknown","Unknown"
"gh","2009","Presidential","Right","Unknown"
"gh","2010","Presidential","Right","Unknown"
"gh","2011","Presidential","Right","Unknown"
"gn","2009","Presidential","Unknown","Unknown"
"gn","2010","Presidential","Unknown","Unknown"
"gn","2011","Presidential","Unknown","Unknown"
"gm","2009","Presidential","Unknown","Unknown"
"gm","2010","Presidential","Unknown","Unknown"
"gm","2011","Presidential","Unknown","Unknown"
"gw","2009","Presidential","Unknown","Left"
"gw","2010","Presidential","Left","Left"
"gw","2011","Presidential","Left","Left"
"gq","2009","Presidential","Unknown","Unknown"
"gq","2010","Presidential","Unknown","Unknown"
"gq","2011","Presidential","Unknown","Unknown"
"gr","2009","Parliamentary","Right","Right"
"gr","2010","Parliamentary","Left","Left"
"gr","2011","Parliamentary","Left","Left"
"gd","2009","Parliamentary","Left","Left"
"gd","2010","Parliamentary","Left","Left"
"gd","2011","Parliamentary","Left","Left"
"gt","2009","Presidential","Left","Left"
"gt","2010","Presidential","Left","Left"
"gt","2011","Presidential","Left","Left"
"gy","2009","Assembly-Elected President","Left","Left"
"gy","2010","Assembly-Elected President","Left","Left"
"gy","2011","Assembly-Elected President","Left","Left"
"hn","2009","Presidential","Right","Right"
"hn","2010","Presidential","Right","Right"
"hn","2011","Presidential","Right","Right"
"hr","2009","Parliamentary","Right","Right"
"hr","2010","Parliamentary","Right","Right"
"hr","2011","Parliamentary","Right","Right"
"ht","2009","Presidential","Unknown","Unknown"
"ht","2010","Presidential","Unknown","Unknown"
"ht","2011","Presidential","Unknown","Unknown"
"hu","2009","Parliamentary","Left","Left"
"hu","2010","Parliamentary","Left","Left"
"hu","2011","Parliamentary","Left","Left"
"id","2009","Presidential","Unknown","Unknown"
"id","2010","Presidential","Unknown","Unknown"
"id","2011","Presidential","Unknown","Unknown"
"in","2009","Parliamentary","Left","Left"
"in","2010","Parliamentary","Left","Left"
"in","2011","Parliamentary","Left","Left"
"ie","2009","Parliamentary","Center","Center"
"ie","2010","Parliamentary","Center","Center"
"ie","2011","Parliamentary","Center","Center"
"ir","2009","Presidential","Unknown","Unknown"
"ir","2010","Presidential","Unknown","Unknown"
"ir","2011","Presidential","Unknown","Unknown"
"iq","2009","Parliamentary","Unknown","Unknown"
"iq","2010","Parliamentary","Unknown","Unknown"
"iq","2011","Parliamentary","Unknown","Unknown"
"is","2009","Parliamentary","Right","Right"
"is","2010","Parliamentary","Unknown","Unknown"
"is","2011","Parliamentary","Unknown","Unknown"
"il","2009","Parliamentary","Right","Right"
