"al","censurën e internetit.","faqen e internetit të mbyllura.","informacion nuk është në dispozicion."
"et","الرقابة على الانترنت.","أغلقت الموقع.","لا تتوفر معلومات."
"ae","الرقابة على الانترنت.","أغلقت الموقع.","لا تتوفر معلومات."
"bh","الرقابة على الانترنت.","أغلقت الموقع.","لا تتوفر معلومات."
"dz","الرقابة على الانترنت.","أغلقت الموقع.","لا تتوفر معلومات."
"eg","الرقابة على الانترنت.","أغلقت الموقع.","لا تتوفر معلومات."
"iq","الرقابة على الانترنت.","أغلقت الموقع.","لا تتوفر معلومات."
"jo","الرقابة على الانترنت.","أغلقت الموقع.","لا تتوفر معلومات."
"km","الرقابة على الانترنت.","أغلقت الموقع.","لا تتوفر معلومات."
"kw","الرقابة على الانترنت.","أغلقت الموقع.","لا تتوفر معلومات."
"lb","الرقابة على الانترنت.","أغلقت الموقع.","لا تتوفر معلومات."
"ma","الرقابة على الانترنت.","أغلقت الموقع.","لا تتوفر معلومات."
"mr","الرقابة على الانترنت.","أغلقت الموقع.","لا تتوفر معلومات."
"om","الرقابة على الانترنت.","أغلقت الموقع.","لا تتوفر معلومات."
"qa","الرقابة على الانترنت.","أغلقت الموقع.","لا تتوفر معلومات."
"sa","الرقابة على الانترنت.","أغلقت الموقع.","لا تتوفر معلومات."
"sd","الرقابة على الانترنت.","أغلقت الموقع.","لا تتوفر معلومات."
"am","Ինտերնետ գրաքննություն.","կայք փակ.","տեղեկատվությունը մատչելի չէ:"
"az","internet senzura.","web bağlıdır.","mövcud deyil məlumatlar."
"by","Інтэрнэт цэнзура.","сайт зачынены.","інфармацыя не даступная."
"bd","ইন্টারনেট সেন্সরশীপ.","ওয়েবসাইট বন্ধ.","তথ্য না পাওয়া."
"bg","Интернет цензура.","уебсайт затворен.","информация не е налична."
"ad","la censura d'Internet.","lloc tancat.","Informació no disponible."
"hk","互联网审查。","网站关闭。","不可用的信息。"
"hr","Internet cenzura.","web zatvorena.","informacije nisu dostupne."
"cz","Cenzura internetu.","stránky zavřená.","informace nejsou k dispozici."
"dk","censur af internettet.","hjemmeside lukket.","oplysninger ikke er tilgængelige."
"aw","Internet censuur.","website gesloten.","informatie niet beschikbaar."
"be","Internet censuur.","website gesloten.","informatie niet beschikbaar."
"nl","Internet censuur.","website gesloten.","informatie niet beschikbaar."
"ag","internet censorship.","website closed.","information not available."
"ai","internet censorship.","website closed.","information not available."
"au","internet censorship.","website closed.","information not available."
"bb","internet censorship.","website closed.","information not available."
"bm","internet censorship.","website closed.","information not available."
"bs","internet censorship.","website closed.","information not available."
"bz","internet censorship.","website closed.","information not available."
"ca","internet censorship.","website closed.","information not available."
"ck","internet censorship.","website closed.","information not available."
"cx","internet censorship.","website closed.","information not available."
"dm","internet censorship.","website closed.","information not available."
"fj","internet censorship.","website closed.","information not available."
"fm","internet censorship.","website closed.","information not available."
"gb","internet censorship.","website closed.","information not available."
"gd","internet censorship.","website closed.","information not available."
"gg","internet censorship.","website closed.","information not available."
"gh","internet censorship.","website closed.","information not available."
